A little life on your desktop|デスクトップに小さな生命を|바탕 화면에 작은 생기를
Settings sections|設定カテゴリ|설정 분류
Creatures|生き物|생물
Screen saver|スクリーンセーバー|화면 보호기
Preferences|環境設定|환경 설정
Choose a scene and set the population across your desktop.|シーンを選び、デスクトップ全体の数とサイズを設定します。|장면을 선택하고 전체 바탕 화면의 생물 수와 크기를 설정하세요.
Bring your idle screen to life|待機中の画面にも生命を|쉬고 있는 화면에도 생기를
Your screen saver has its own scene and population settings.|スクリーンセーバーのシーンと数は個別に設定できます。|화면 보호기의 장면과 생물 수는 별도로 설정됩니다.
Try it first|まずはプレビュー|먼저 미리 보기
Preview full screen; move the mouse or press a key to exit. Previewing does not enable the Windows screen saver.|全画面でプレビューします。マウス移動やキー入力で終了します。Windows の自動起動設定は変更されません。|전체 화면으로 미리 봅니다. 마우스를 움직이거나 키를 누르면 종료됩니다. 미리 보기는 Windows 화면 보호기를 자동으로 활성화하지 않습니다.
Preview screen saver|スクリーンセーバーをプレビュー|화면 보호기 미리 보기
Choose what appears|表示内容を選ぶ|표시할 내용 선택
Choose Forest, Ocean or Rain window, backgrounds and creature populations.|森・海・雨の窓、背景、生き物の数を設定します。|숲, 바다, 빗방울 창과 배경 및 생물 수를 설정하세요.
Configure screen saver|スクリーンセーバーを設定|화면 보호기 구성
Start when your PC is idle|待機中に自動起動|PC를 사용하지 않을 때 시작
In Windows Screen Saver Settings, select DesktopLife, set the wait time, and click Apply to enable automatic start after inactivity.|Windows のスクリーンセーバー設定で DesktopLife を選び、待ち時間を指定して「適用」を押すと自動起動します。|Windows 화면 보호기 설정에서 DesktopLife를 선택하고 대기 시간을 지정한 다음 적용을 누르면 자동으로 시작됩니다.
Open Windows screen saver settings|Windows のスクリーンセーバー設定を開く|Windows 화면 보호기 설정 열기
Make it yours|使い方をカスタマイズ|사용 방식 설정
Creature styles apply to Forest and Ocean; shortcuts and capture options apply to all scenes.|生き物のスタイルは森と海に、ショートカットと録画設定はすべてのシーンに適用されます。|생물 스타일은 숲과 바다에 적용되며 단축키와 화면 캡처 옵션은 모든 장면에 적용됩니다.
Forest|森|숲
Ocean|海|바다
Rain window|雨の窓|빗방울 창
Rain intensity|雨の強さ|빗방울 양
Save rain intensity|雨の強さを保存|빗방울 양 저장
Drizzle|霧雨|이슬비
Light rain|小雨|약한 비
Moderate rain|普通の雨|보통 비
Heavy rain|大雨|강한 비
Downpour|豪雨|폭우
A rain-covered pane of glass|画面を雨の窓に|화면을 빗방울 맺힌 창으로
Drops grow on the glass and slide under their own weight. Touch a drop with the pointer to release it; it gathers smaller drops along its path. Click for one of three fracture effects, fading after three seconds. Clicks still reach windows underneath. Pause freezes the scene.|ガラスに水滴がたまり、成長すると滑り落ちます。ポインターで触れると滑り始め、途中の小さな水滴を取り込みます。クリックで3種類のひび割れが現れ、3秒後に消えます。クリックは背後のウィンドウにも届きます。一時停止で動きを止められます。|유리에 맺힌 물방울은 커지면 흘러내립니다. 포인터로 건드리면 미끄러지며 작은 물방울을 합칩니다. 클릭하면 세 가지 균열 효과 중 하나가 나타나고 3초 후 사라집니다. 클릭은 뒤의 창에도 전달됩니다. 일시 정지하면 장면이 멈춥니다.
Desktop scene|デスクトップのシーン|바탕 화면 장면
Scenes switch immediately; Forest and Ocean populations are retained.|シーンはすぐに切り替わり、森と海の数はそれぞれ保持されます。|장면은 즉시 전환되며 숲과 바다의 생물 수는 각각 유지됩니다.
Scene changed. Settings saved.|シーンを切り替え、設定を保存しました。|장면을 전환하고 설정을 저장했습니다.
Green turtle · always one|アオウミガメ · 常に1匹|푸른바다거북 · 항상 1마리
Same motion as the fly · reaches the click, then retreats into its shell for 3 seconds|ハエと同じ動き · クリック位置で3秒間甲羅に隠れます|파리와 같은 움직임 · 클릭한 위치에 도착한 뒤 3초간 등껍질에 숨습니다
Ocean creatures · 12 fish species|海の生き物 · 魚12種|바다 생물 · 물고기 12종
Up to 100 of each fish; 0 disables it. Sizes: 10–300%.|各種100匹まで。0で非表示。サイズ：10～300%。|종별 최대 100마리, 0이면 숨김. 크기: 10~300%.
Exclude creatures and settings from screen capture|生き物と設定画面を録画から除外|생물과 설정 창을 화면 캡처에서 제외
Still visible on your display. Requires Windows 10 2004 or later. Only compatible capture tools honor this setting; it cannot block every monitoring tool.|自分の画面には表示されます。Windows 10 2004以降が必要です。対応する録画ツールのみ有効で、すべての監視ソフトを防ぐことはできません。|내 화면에는 계속 표시됩니다. Windows 10 2004 이상이 필요합니다. 이 기능을 지원하는 캡처 도구에서만 작동하며 모든 모니터링 도구의 녹화를 차단하지는 못합니다.
Capture preference saved.|録画設定を保存しました。|캡처 설정을 저장했습니다.
Windows could not apply capture exclusion to every window. Do not rely on it to hide content.|一部のウィンドウを録画から除外できませんでした。内容を隠す手段として使用しないでください。|일부 창에 캡처 제외를 적용하지 못했습니다. 내용을 숨기는 용도로 의존하지 마세요.
Capture & sharing|録画と共有|캡처 및 공유
Min size %|最小サイズ %|최소 크기 %
Max size %|最大サイズ %|최대 크기 %
Sizes must be whole percentages from 10–300%; min must not exceed max.|サイズは10～300%の整数で、最小値は最大値以下にしてください。|크기는 10~300%의 정수이며 최소값은 최대값 이하여야 합니다.
Creature style|生き物のスタイル|생물 스타일
Realistic|リアル|사실적
Cute · soft and rounded|かわいい · 丸く柔らか|귀여움 · 부드럽고 둥글게
